Prod,Aggregate,U,NumSamples,NumNA,NumStksOverfished_p10,NumStksOverfished_p25,NumStksOverfished_Med,NumStksOverfished_p75,NumStksOverfished_p90,NumStksExtirpated_p10,NumStksExtirpated_p25,NumStksExtirpated_Med,NumStksExtirpated_p75,NumStksExtirpated_p90,NumStksBelowSgen_p10,NumStksBelowSgen_p25,NumStksBelowSgen_Med,NumStksBelowSgen_p75,NumStksBelowSgen_p90,EqSpn_p10,EqSpn_p25,EqSpn_Med,EqSpn_p75,EqSpn_p90,EqCt_p10,EqCt_p25,EqCt_Med,EqCt_p75,EqCt_p90,NumStksOverfishedv2p20,NumStksExtirpatedv2p20,NumStksBelowSgenv2p20,NumStksOverfishedv2p40,NumStksExtirpatedv2p40,NumStksBelowSgenv2p40
LTAvg,Nass,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453688.1919,496579.4478,551058.1945,614442.5586,671320.4828,0,0,0,0,0,0,0,0,0,0,0
LTAvg,Nass,0.01,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450603.1103,493411.9109,547413.6231,610468.4155,666615.9112,4551.546569,4983.958696,5529.430536,6166.347632,6733.494052,0,0,0,0,0,0
LTAvg,Nass,0.02,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447539.6414,490179.5161,543685.4324,606324.0466,661698.5805,9133.46207,10003.66359,11095.62107,12373.96013,13504.05266,0,0,0,0,0,0
LTAvg,Nass,0.03,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444693.5882,486972.2751,540007.736,601943.0793,657118.6675,13753.40994,15060.9982,16701.27018,18616.79627,20323.25776,0,0,0,0,0,0
LTAvg,Nass,0.04,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441422.4406,483814.8911,536336.4812,597802.2415,652357.1318,18392.60169,20158.9538,22347.35338,24908.42673,27181.54716,0,0,0,0,0,0
LTAvg,Nass,0.05,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438445.9192,480636.3313,532753.5086,593617.0997,647959.7229,23076.10101,25296.64901,28039.65835,31243.00525,34103.14331,0,0,0,0,0,0
LTAvg,Nass,0.06,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435355.7577,477205.4825,528834.1122,589248.3104,643667.8185,27788.66539,30459.92441,33755.36886,37611.59428,41085.1799,0,0,0,0,0,0
LTAvg,Nass,0.07,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432052.3816,473895.6421,524856.0249,585031.1682,638690.2396,32520.07173,35669.56446,39505.2922,44034.60406,48073.4589,0,0,0,0,0,0
LTAvg,Nass,0.08,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428783.0922,470302.0864,520953.3748,580710.5586,633176.5601,37285.48628,40895.8336,45300.29347,50496.57031,55058.83131,0,0,0,0,0,0
LTAvg,Nass,0.09,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425508.9352,466601.2076,516791.9909,576380.5721,628174.6014,42083.30129,46147.37218,51111.2958,57004.67196,62127.15838,0,0,0,0,0,0
LTAvg,Nass,0.1,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421912.0284,462953.8707,513003.0129,571588.5949,622848.1436,46879.11427,51439.31896,57000.33476,63509.84387,69205.34929,0,0,0,0,0,0
LTAvg,Nass,0.11,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418794.0443,459394.2688,509205.3685,566783.8729,617853.1914,51761.06165,56779.06693,62935.49499,70051.93935,76363.87759,0,0,0,0,0,0
LTAvg,Nass,0.12,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415222.4241,455723.2405,505445.5206,561913.2891,612460.5394,56621.23965,62144.07825,68924.38918,76624.53943,83517.34629,0,0,0,0,0,0
LTAvg,Nass,0.13,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411486.7758,452222.9842,501402.767,556830.1193,607482.712,61486.52972,67573.54937,74922.25255,83204.50058,90773.27881,0,0,0,0,0,0
LTAvg,Nass,0.14,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408138.7323,448263.8564,497315.9721,551817.4746,602405.0715,66441.18899,72973.18593,80958.41407,89830.75168,98065.94187,0,0,0,0,0,0
LTAvg,Nass,0.15,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404847.0107,444520.0916,493239.3917,547020.4655,596987.921,71443.59013,78444.72204,87042.2456,96533.02333,105350.8096,0,0,0,0,0,0
LTAvg,Nass,0.16,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401434.2987,440574.6567,488876.8378,541906.9418,591744.819,76463.67594,83918.98224,93119.39768,103220.3699,112713.2988,0,0,0,0,0,0
LTAvg,Nass,0.17,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398079.356,436684.1331,484531.6185,537095.5749,586295.7263,81534.32594,89441.32848,99241.41584,110007.5274,120084.6668,0,0,0,0,0,0
LTAvg,Nass,0.18,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394287.4959,432914.4634,479973.4248,532538.7826,580831.5333,86550.91374,95030.00416,105360.0201,116898.7571,127499.6049,0,0,0,0,0,0
LTAvg,Nass,0.19,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390807.7556,428735.0184,475576.903,527613.0836,575319.459,91670.95502,100567.4734,111555.076,123761.0937,134951.478,0,0,0,0,0,0
LTAvg,Nass,0.2,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386972.9164,424693.2214,470840.064,522442.6811,569910.4213,96743.2291,106173.3054,117710.016,130610.6703,142477.6053,0,0,0,0,0,0
LTAvg,Nass,0.21,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383354.3518,420789.2856,466229.7483,517426.5644,564717.5561,101904.3214,111855.3797,123934.4901,137543.7703,150114.7934,0,0,0,0,0,0
LTAvg,Nass,0.22,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379346.0687,416417.8348,461683.863,512546.6206,559230.7367,106995.045,117451.1842,130218.5255,144564.4315,157731.7462,0,0,0,0,0,0
LTAvg,Nass,0.23,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375176.1936,411923.4878,457076.5107,507330.3494,553395.7617,112065.6163,123042.0808,136529.3474,151540.2342,165300.0327,0,0,0,0,0,0
LTAvg,Nass,0.24,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371325.1573,407471.1804,452241.3522,502214.4074,547673.7415,117260.576,128675.1096,142813.0586,158594.0234,172949.6026,0,0,0,0,0,0
LTAvg,Nass,0.25,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367572.8675,403231.5782,447119.9169,496517.8927,542413.0832,122524.2892,134410.5261,149039.9723,165505.9642,180804.3611,0,0,0,0,0,0
LTAvg,Nass,0.26,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363665.3963,398387.9479,441973.7142,490975.9203,536114.9403,127774.3284,139974.1439,155288.0618,172505.0531,188364.7087,0,0,0,0,0,0
LTAvg,Nass,0.27,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359581.0872,394186.9477,437212.1002,485370.467,529817.6609,132995.7446,145795.1724,161708.585,179520.5837,195959.9568,0,0,0,0,0,0
LTAvg,Nass,0.28,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355385.86,389983.4974,431781.3204,479586.5909,524025.726,138205.6122,151660.249,167914.9579,186505.8965,203787.7823,0,0,0,0,0,0
LTAvg,Nass,0.29,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350751.6266,385102.9051,426457.8225,473869.0078,517804.6668,143264.7489,157295.5528,174186.9979,193552.13,211497.6808,0,0,0,0,0,0
