Method,Critère,Commentaire
Agg Smsy,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'à l'estimation finale de Srmd utilisée comme objectif de gestion.
Agg Smsy,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Agg Smsy,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
Agg Smsy,Covariation de la productivité?,"NON. Les profils de la productivité pour le regroupement peuvent être pris en compte dans l'étape d'ajustement du modèle géniteurs-recrues (p. ex. modèle de Ricker AR1, modèle alpha à marche aléatoire), mais la covariation entre les stocks du regroupement n'est pas explicitement prise en compte dans les points de référence pour le regroupement qui en résultent."
Agg Smsy,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
Agg Smsy,Peut produire un point de référence des regroupements fondé sur l'abondance?,"OUI. L'objectif pour le regroupement peut être sélectionné directement en fonction de la distribution a posteriori (moyenne, médiane ou fourchette de centiles)."
Agg Smsy,Peut produire une règle de contrôle des prises?,NON. Ne produit qu'un seul point de référence ou une seule fourchette.
Agg Smsy,Stocks dont les données sont insuffisantes?,NON. Les stocks du regroupement ne font pas partie du calcul.
Agg Smsy,Permet de prendre en compte les stocks constituants?,NON. Les renseignements au niveau du stock ou de l'UC ne sont pas utilisés dans l'ajustement du modèle géniteurs-recrues ou l'approche de regroupement.
Agg Smsy,Facilement opérationnalisé?,OUI. Peut être opérationnalisé à condition de tenir compte du calendrier et du type de gestion.
Agg Smsy,Contraintes temporelles,COURT. Peuvent être calculées directement à partir de l'ensemble de paramètres géniteurs-recrues pour chaque scénario de productivité.
Sum of Smsy,Paramètres variables dans le temps?,PEUT-ÊTRE. Dépend de la façon dont les paramètres géniteurs-recrues sont estimés et de la façon dont les résultats des autres scénarios de productivité sont reportés jusqu'au résultat final.
Sum of Smsy,Incertitude dans les ajustements du modèle géniteurs-recrues?,"OUI. Utilisation des estimations bayésiennes des paramètres qui quantifient l'incertitude des paramètres du modèle. Des approches de rechange pourraient être mises en œuvre (p. ex. modèle géniteurs-recrues d'espace d'états avec coefficient de variation explicite pour chaque observation, ou modèle intégré d'espace d'états RunRecon/SR qui combine l'incertitude des données sur les géniteurs et les prises, la composition selon l'âge et l'ajustement du modèle géniteurs-recrues)."
Sum of Smsy,Incertitude des résultats?,NON. L'incertitude des résultats ne fait pas partie du calcul.
Sum of Smsy,Covariation de la productivité?,"NON. Les profils de la productivité pour chaque stock peuvent être pris en compte dans l'étape d'ajustement du modèle géniteurs-recrues (p. ex. modèle de Ricker AR1), mais la covariation entre les stocks n'est pas explicitement prise en compte dans les points de référence pour le regroupement qui en résultent."
Sum of Smsy,Biais dans les estimations des paramètres?,"PEUT-ÊTRE. Dépend de l'état. L'ampleur et le sens du biais sont influencés par le nombre de points de données, la productivité moyenne du stock, la variation temporelle de la productivité et les taux de récolte antérieurs (ces deux derniers facteurs influencent le contraste des données)."
Sum of Smsy,Peut produire un point de référence des regroupements fondé sur l'abondance?,"PEUT-ÊTRE. L'objectif pour le regroupement est la somme de la médiane ou de la moyenne des estimations au niveau du stock. Ne convient pas comme objectif pour le regroupement, mais pourrait être utilisé comme borne inférieure pour l'abondance des géniteurs du regroupement. Il n'est pas facile de calculer les bornes de centiles pour la somme."
