Basin,StkNmS,NumSRObs,SpnContr,BR.Med,BR.SIQR,AR1.Med,AR1.SIQR,PercDiffAR1,TVP.Med.Min,TVP.SIQR.Min,PercDiffTVPMin,TVP.Med.Max,TVP.SIQR.Max,PercDiffTVPMax
Nass,Damdoch,32,32,1.75,0.113075991464176,1.78,0.143508533537366,  2, 1.18,0.372606699287382, -33,2.99,0.162270801257301, 70
Nass,Kwinag,32,234,1.54,0.216017641790835,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Nass,LNassSRT,34,67,1.09,0.293308359442635,1.12,0.309644093993442,  3,-0.38,-2.42703684991317,-134,2.55,0.498533524913689,133
Nass,Meziadin,32,12,1.73,0.168321245833843,1.71,0.177786156064607, -1, 0.59,0.62121117107356, -66,3.06,0.117868816964918, 77
Skeena,Alastair,54,80,1.34,0.173123465914597,1.41,0.194802647910236,  5, 0.50,1.41674744015585, -62,2.20,0.362989501777018, 65
Skeena,Asitka,24,55,1.00,0.481098856348739,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,Bab-EW,55,27,1.04,0.277309018246084,1.08,0.282961791301254,  4, 0.43,1.13348013931849, -59,1.49,0.310004789591607, 43
Skeena,Bab-LW,55,16,1.13,0.222848021503384,1.18,0.258543260488498,  5, 0.72,0.540157602025401, -36,1.78,0.283184505935662, 57
Skeena,Bab-MW,55,21,1.41,0.194589760149366,1.42,0.21113496551983,  1, 1.23,0.378715371615564, -13,1.53,0.271537267654469,  8
Skeena,Bear,49,98,1.96,0.113040386194305,2.03,0.126369346381755,  4, 1.87,0.190498882918607,  -4,2.30,0.188839515197955, 18
Skeena,Johnston,11,21,1.28,0.261348517971584,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,Kitsumk,24,8,1.80,0.107610972954671,1.65,0.137487701367282, -8, 1.37,0.363052279824658, -24,2.14,0.169586366421698, 19
Skeena,Kitwanga,19,94,0.97,0.487785151621947,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,Lakelse,55,35,0.98,0.226757403621832,1.01,0.251365240966598,  3,-0.13,-3.75055064146758,-113,2.44,0.178073752528464,148
Skeena,Mcdonell,42,50,1.64,0.135016069001549,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,Morice,54,205,1.71,0.163983177214475,1.72,0.162009416812091,  0,-1.12,-0.302417193046372,-165,3.73,0.169717708821373,118
Skeena,Motase,17,21,1.31,0.362046472280877,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,Slamg,14,10,1.42,0.245746051673455,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,Sustut,27,100,2.35,0.162940157674728,  NA,NA, NA,   NA,NA,  NA,  NA,NA, NA
Skeena,SwanSteph,54,68,0.94,0.281271142832921,0.80,0.387199086977061,-14, 0.29,1.45884634099361, -69,1.75,0.351985674335168, 87
