Version,MU,LHAZ,Stock,StkNmS,StkID,Timing,n,mean,sd,p10,p25,p50,p75,p90,lower,upper
All Years,Nass,TMR  Nass,Lower Nass Sea & River Type,BNassTOF,1,1,38,0.880937569,0.151581128,0.686678537,0.778697652,0.880937569,0.983177486,1.0751966,0.577775313,1.184099824
All Years,Nass,TLS Nass,Damdochax,Damdoch,6,2,38,1.070447912,0.103062743,0.938367692,1.000933148,1.070447912,1.139962676,1.202528132,0.864322425,1.276573399
All Years,Nass,TLS Nass,Kwinageese,Kwinag,5,2,38,1.022815609,0.079735241,0.920630787,0.969035007,1.022815609,1.076596212,1.125000432,0.863345128,1.182286091
All Years,Nass,TLS Nass,Meziadin,Meziadin,2,2,38,0.999607887,0.011774479,0.984518285,0.991666122,0.999607887,1.007549653,1.014697489,0.976058929,1.023156846
All Years,Skeena Sauvage,TLInf Skeena,Alastair,Alastair,10,2,60,0.562767458,0.09384755,0.442496984,0.499468248,0.562767458,0.626066669,0.683037932,0.375072359,0.750462557
All Years,Skeena Sauvage,TLInf Skeena,Johnston,Johnston,8,3,32,0.796347079,0.202793578,0.536456651,0.659564889,0.796347079,0.933129269,1.056237507,0.390759923,1.201934235
All Years,Skeena Sauvage,TLInf Skeena,Kitsumkalum,Kitsumk,12,4,59,0.857110845,0.096712582,0.733168684,0.7918792,0.857110845,0.922342491,0.981053007,0.66368568,1.05053601
All Years,Skeena Sauvage,TLInf Skeena,Lakelse,Lakelse,11,1,60,0.340493797,0.113918683,0.194501131,0.263656813,0.340493797,0.417330782,0.486486464,0.112656431,0.568331164
All Years,Skeena Sauvage,TLInf Skeena,Mcdonell,Mcdonell,13,1,52,0.430819299,0.120373702,0.276554192,0.349628471,0.430819299,0.512010127,0.585084406,0.190071894,0.671566704
All Years,Skeena Sauvage,TLInt Skeena,Babine Early Wild,Bab-SMH,18,3,60,0.938383858,0.120444569,0.784027932,0.857145231,0.938383858,1.019622486,1.092739784,0.69749472,1.179272996
All Years,Skeena Sauvage,TLInt Skeena,Babine Late Wild,Bab-SMT,19,5,60,1.144056036,0.125232989,0.983563502,1.059587668,1.144056036,1.228524403,1.304548569,0.893590057,1.394522014
All Years,Skeena Sauvage,TLInt Skeena,Babine Mid Wild,Bab-SMM,20,4,60,1.039583338,0.092738838,0.920733735,0.977031943,1.039583338,1.102134734,1.158432941,0.854105662,1.225061014
All Years,Skeena Sauvage,TLInt Skeena,Kitwanga,Kitwanga,14,4,35,0.867620822,0.193140885,0.620100818,0.737349275,0.867620822,0.99789237,1.115140826,0.481339052,1.253902592
All Years,Skeena Sauvage,TLInt Skeena,Morice,Morice,16,2,60,0.923009809,0.212679461,0.650450113,0.779559693,0.923009809,1.066459926,1.195569505,0.497650888,1.348368731
All Years,Skeena Sauvage,TLInt Skeena,Swan/Stephens,SwanSteph,17,2,59,0.665608507,0.142753709,0.482662269,0.569322594,0.665608507,0.761894421,0.848554746,0.38010109,0.951115925
All Years,Skeena Sauvage,TLS Skeena,Asitka,Asitka,27,NA,41,0.915959196,0.138086123,0.738994709,0.822821522,0.915959196,1.00909687,1.092923683,0.639786951,1.192131441
All Years,Skeena Sauvage,TLS Skeena,Bear,Bear,26,4,58,0.932445694,0.119904573,0.7787818,0.851571288,0.932445694,1.013320099,1.086109588,0.692636547,1.172254841
All Years,Skeena Sauvage,TLS Skeena,Motase,Motase,25,4,35,0.974612425,0.092908051,0.855545966,0.911946896,0.974612425,1.037277953,1.093678883,0.788796322,1.160428527
All Years,Skeena Sauvage,TLS Skeena,Slamgeesh,Slamg,24,4,19,1.012187984,0.164384508,0.80152076,0.901312318,1.012187984,1.12306365,1.222855208,0.683418967,1.340957
All Years,Skeena Sauvage,TLS Skeena,Sustut,Sustut,28,3,48,1.174407211,0.577815705,0.43390659,0.784676441,1.174407211,1.564137982,1.914907832,0.018775802,2.33003862
Starting 1995,Nass,TMR  Nass,Lower Nass Sea & River Type,BNassTOF,1,1,25,0.967960793,0.078963488,0.86676501,0.914700729,0.967960793,1.021220856,1.069156575,0.810033816,1.125887769
Starting 1995,Nass,TLS Nass,Damdochax,Damdoch,6,2,25,1.017791474,0.080133569,0.915096173,0.963742203,1.017791474,1.071840745,1.120486775,0.857524336,1.178058612
Starting 1995,Nass,TLS Nass,Kwinageese,Kwinag,5,2,25,1.000158612,0.089748479,0.885141308,0.939624182,1.000158612,1.060693041,1.115175916,0.820661653,1.179655571
Starting 1995,Nass,TLS Nass,Meziadin,Meziadin,2,2,25,1.002753958,0.009892895,0.990075703,0.996081302,1.002753958,1.009426614,1.015432212,0.982968168,1.022539747
Starting 1995,Skeena Sauvage,TLInf Skeena,Alastair,Alastair,10,2,25,0.528367204,0.130320508,0.361354752,0.440467357,0.528367204,0.616267051,0.695379655,0.267726187,0.789008221
Starting 1995,Skeena Sauvage,TLInf Skeena,Johnston,Johnston,8,3,11,0.6698673,0.311306562,0.270911889,0.459894215,0.6698673,0.879840386,1.068822712,0.047254176,1.292480424
Starting 1995,Skeena Sauvage,TLInf Skeena,Kitsumkalum,Kitsumk,12,4,24,0.789594494,0.118677385,0.637503305,0.709547814,0.789594494,0.869641174,0.941685683,0.552239723,1.026949265
Starting 1995,Skeena Sauvage,TLInf Skeena,Lakelse,Lakelse,11,1,25,0.359477325,0.161177913,0.152919518,0.250764474,0.359477325,0.468190175,0.566035131,0.037121499,0.68183315
Starting 1995,Skeena Sauvage,TLInf Skeena,Mcdonell,Mcdonell,13,1,18,0.36179867,0.144313288,0.176853749,0.264460836,0.36179867,0.459136503,0.54674359,0.073172094,0.650425245
Starting 1995,Skeena Sauvage,TLInt Skeena,Babine Early Wild,Bab-SMH,18,3,25,1.001312411,0.163024252,0.792388426,0.891354224,1.001312411,1.111270598,1.210236397,0.675263907,1.327360915
Starting 1995,Skeena Sauvage,TLInt Skeena,Babine Late Wild,Bab-SMT,19,5,25,1.225278887,0.157052232,1.024008353,1.119348766,1.225278887,1.331209008,1.426549421,0.911174422,1.539383351
Starting 1995,Skeena Sauvage,TLInt Skeena,Babine Mid Wild,Bab-SMM,20,4,25,1.097089708,0.117400978,0.9466343,1.017903951,1.097089708,1.176275465,1.247545116,0.862287751,1.331891665
Starting 1995,Skeena Sauvage,TLInt Skeena,Kitwanga,Kitwanga,14,4,20,0.780642033,0.217791183,0.501531402,0.633744113,0.780642033,0.927539954,1.059752665,0.345059668,1.216224399
Starting 1995,Skeena Sauvage,TLInt Skeena,Morice,Morice,16,2,25,0.764914988,0.245279397,0.450576792,0.599476548,0.764914988,0.930353427,1.079253183,0.274356193,1.255473782
Starting 1995,Skeena Sauvage,TLInt Skeena,Swan/Stephens,SwanSteph,17,2,25,0.647391494,0.208692341,0.379941498,0.506630649,0.647391494,0.788152339,0.91484149,0.230006812,1.064776176
Starting 1995,Skeena Sauvage,TLS Skeena,Asitka,Asitka,27,NA,21,0.881049329,0.186193928,0.642432209,0.755463433,0.881049329,1.006635226,1.11966645,0.508661472,1.253437186
Starting 1995,Skeena Sauvage,TLS Skeena,Bear,Bear,26,4,25,0.900595097,0.176420829,0.674502708,0.781601057,0.900595097,1.019589138,1.126687486,0.54775344,1.253436755
Starting 1995,Skeena Sauvage,TLS Skeena,Motase,Motase,25,4,22,0.980546103,0.115198218,0.832913646,0.902846085,0.980546103,1.05824612,1.12817856,0.750149666,1.210942539
Starting 1995,Skeena Sauvage,TLS Skeena,Slamgeesh,Slamg,24,4,19,1.012187984,0.164384508,0.80152076,0.901312318,1.012187984,1.12306365,1.222855208,0.683418967,1.340957
Starting 1995,Skeena Sauvage,TLS Skeena,Sustut,Sustut,28,3,20,1.586244473,0.718426045,0.66554445,1.101673469,1.586244473,2.070815476,2.506944495,0.149392383,3.023096562
None,Nass,TMR  Nass,Lower Nass Sea & River Type,BNassTOF,1,1,38,1,0,NA,NA,NA,NA,NA,1,1
None,Nass,TLS Nass,Damdochax,Damdoch,6,2,38,1,0,NA,NA,NA,NA,NA,1,1
None,Nass,TLS Nass,Kwinageese,Kwinag,5,2,38,1,0,NA,NA,NA,NA,NA,1,1
None,Nass,TLS Nass,Meziadin,Meziadin,2,2,38,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInf Skeena,Alastair,Alastair,10,2,60,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInf Skeena,Johnston,Johnston,8,3,32,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInf Skeena,Kitsumkalum,Kitsumk,12,4,59,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInf Skeena,Lakelse,Lakelse,11,1,60,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInf Skeena,Mcdonell,Mcdonell,13,1,52,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInt Skeena,Babine Early Wild,Bab-SMH,18,3,60,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInt Skeena,Babine Late Wild,Bab-SMT,19,5,60,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInt Skeena,Babine Mid Wild,Bab-SMM,20,4,60,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInt Skeena,Kitwanga,Kitwanga,14,4,35,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInt Skeena,Morice,Morice,16,2,60,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLInt Skeena,Swan/Stephens,SwanSteph,17,2,59,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLS Skeena,Asitka,Asitka,27,NA,41,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLS Skeena,Bear,Bear,26,4,58,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLS Skeena,Motase,Motase,25,4,35,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLS Skeena,Slamgeesh,Slamg,24,4,19,1,0,NA,NA,NA,NA,NA,1,1
None,Skeena Sauvage,TLS Skeena,Sustut,Sustut,28,3,48,1,0,NA,NA,NA,NA,NA,1,1
