Scenario,StkID,Stock,Variable,n,numNA,Mean,Median,SD,p10,p25,p75,p90,percNA,CV
High,1,Lower Nass Sea & River Type,beta,2000,0,17.14606651324103,11.702019141676384,13.964780837481307,5.831618591198348,7.341418491930959,22.252574426450302,36.225671322051646,0,0.8144597378469878
High,1,Lower Nass Sea & River Type,deviance,2000,0,-216.29419056752988,-207.3981193688879,34.522068093815726,-263.17728087691137,-227.64576759977024,-193.41274185749103,-183.1368139693992,0,-0.15960700564002195
High,1,Lower Nass Sea & River Type,ln.alpha,2000,0,2.049672617093202,1.9995018806849578,0.7600740937380929,1.0768535818178517,1.4863136769514966,2.5761704774002743,3.074708703388178,0,0.37082707130859377
High,1,Lower Nass Sea & River Type,ln.alpha.c,2000,0,2.336697954929484,2.3111955873248755,0.7055586724597099,1.4675694848633187,1.8674789156559197,2.7847261745259173,3.2746734104325563,0,0.3019468866189007
High,1,Lower Nass Sea & River Type,Seq,2000,0,190163.27943401336,152804.0048692832,137212.9638998216,46450.61787405194,80550.8693420219,275094.2083301217,395443.6243815131,0,0.7215534161390738
High,1,Lower Nass Sea & River Type,Seq.c,2000,0,215488.16198735524,180165.51233944722,144952.66320774343,58036.09533699031,94078.02129427315,305460.5580430576,432110.12739580835,0,0.6726711197074909
High,1,Lower Nass Sea & River Type,Sgen,2000,0,10282.793231249017,7847.929808005457,8164.735898634983,2170.51901275867,4000.97958197421,14557.900749740851,22361.190627454667,0,0.7940192625698882
High,1,Lower Nass Sea & River Type,Sgen.c,2000,0,8534.447474347386,6409.607750415826,7166.8275034839635,1703.2991018381892,3158.0431703433437,11881.609862845531,18566.952701840153,0,0.839752957063222
High,1,Lower Nass Sea & River Type,SgenRatio,2000,0,9.724918781605075,6.626434158523759,9.005089661145114,2.431284128506255,3.780152468382498,12.29305562706801,20.731383946338426,0,0.9259809632732835
High,1,Lower Nass Sea & River Type,SgenRatio.c,2000,0,12.502997059273346,9.265603525789746,10.390984795593461,3.703486263405391,5.730736638567425,15.299230154971553,25.495175297187117,0,0.8310795200808732
High,1,Lower Nass Sea & River Type,sigma,2000,0,0.7064787581585412,0.7166931975673415,0.2738173257982097,0.32819679745163766,0.53335366525258,0.8892823247347212,1.053153583330493,0,0.3875804086621416
High,1,Lower Nass Sea & River Type,Smax,2000,0,92888.0896172174,85455.33791160284,53573.65451519487,27604.764372162255,44938.819685148424,136213.47233939677,171478.99786989848,0,0.5767548319269626
High,1,Lower Nass Sea & River Type,Smsy,2000,0,64425.417955364646,55144.359851935296,41238.99758698443,17697.27829621885,29657.846814183922,91972.8415627894,126984.9874498532,0,0.6401044633587898
High,1,Lower Nass Sea & River Type,Smsy.c,2000,0,70007.3810829911,61619.16193224654,42697.871299376064,20454.729610482078,32827.57024633128,100839.45379962938,132596.01696093663,0,0.6099052791127747
High,1,Lower Nass Sea & River Type,Umsy,2000,0,0.6959316373934388,0.7214269391664385,0.1643286572101619,0.4602340040052216,0.5913695591985035,0.8262178225386677,0.8877431305162942,0,0.23612758549912016
High,1,Lower Nass Sea & River Type,Umsy.c,2000,0,0.7587191102727525,0.7830601943275958,0.13495017610295687,0.5859062682147976,0.691487121266934,0.8548358698873085,0.9063612923162235,0,0.1778657928550706
High,2,Meziadin,beta,2000,0,4.7351126566272415,4.691473275776834,0.8914615437459905,3.549956298596009,4.1293789047817535,5.34694492089605,5.885300306963533,0,0.18826617408950241
High,2,Meziadin,deviance,2000,0,-58.54903700647969,-53.716996392276094,29.52011025550326,-102.83519708695583,-77.37420606488591,-36.66858548663682,-24.102916032775504,0,-0.5041946335041554
High,2,Meziadin,ln.alpha,2000,0,2.676479965426254,2.7652648735892518,0.4482963191565222,2.0036776094594577,2.331790674968987,3.027215337005376,3.1995427173739777,0,0.1674947412076469
