Basin,AgeComp,Stock
Nass,DamdochaxAvg,Damdochax
Nass,KwinageeseAnnual,Kwinageese
Nass,BowserAvg,Bowser
Nass,MeziadinAnnual,Meziadin
Nass,MeziadinAvg,Oweegee
Nass,LowerNassSRTAnnual,Lower Nass Sea & River Type
Nass,UpperNassRTAvg,Upper Nass River Type
Skeena,AlastairAvg,Alastair
Skeena,BabineAnnual,Babine Early Wild
Skeena,BabineAnnual,Babine Late Wild
Skeena,BabineAnnual,Babine Mid Wild
Skeena,BabineAnnual,Fulton
Skeena,BabineAnnual,Pinkut
Skeena,BabineAvg,Asitka
Skeena,BabineAvg,Ecstall
Skeena,BabineAvg,Johnston
Skeena,BabineAvg,Kitsumkalum
Skeena,BabineAvg,Kluantantan
Skeena,BabineAvg,Kluayaz
Skeena,BabineAvg,Mcdonell
Skeena,BabineAvg,Motase
Skeena,BabineAvg,Sicintine
Skeena,BabineAvg,Skeena River Type
Skeena,SustutAvg,Sustut
Skeena,StephensAvg,Swan/Stephens
Skeena,BabineAvg,Upper Bulkley Lakes
Skeena,BearAvg,Bear
Skeena,KitwangaAvg,Kitwanga
Skeena,LakelseAvg,Lakelse
Skeena,MoriceAvg,Morice
Skeena,SlamgeeshAvg,Slamgeesh
