Stock,Median.LTAvg,SIQR.LTAvg,Median.Curr,SIQR.Curr,Median.CurrLS,SIQR.CurrLS,Median.CurrLS2,SIQR.CurrLS2,Median.CurrLS3,SIQR.CurrLS3,Median.PercChange,SIQR.PercChange,Median.PercChange2,SIQR.PercChange2,Median.PercChange3,SIQR.PercChange3
Kitwanga,0.8294255430509286,0.7112734650268477,0.2382862429483478,3.4891464792998974,0.23709137526047752,3.377458128359249,0.23709137526047752,3.4299722590686628,0.23709137526047752,3.4421942707776223,-71.27093023059739,390.5492262625313,0,1.5548417985843392,0,1.9167119164204685
SkeenaWild,1.0311123903542425,0.4559082067487634,0.45365401112319015,1.1923046743405936,0.45723931899483183,1.1694749591198075,0.5260691845007605,1.0063653510613464,0.5684198096485686,0.9291652044819987,-56.003437126059985,161.5229681525858,15.053356666097784,-13.947251010934322,24.31560148811119,-20.5485164743224
Babine Early Wild,1.0899871046341882,0.2844319074962452,0.4899333972527923,0.9636426256947015,0.49469376011015787,0.9576085072467949,0.5808491642219438,0.7467971935076972,0.6650062220874431,0.6821907604085324,-55.05145013461244,238.79554307999803,17.415906780914504,-22.014352644505838,34.427857335285616,-28.76099624784158
Meziadin,1.7134022853952824,0.1741552292191722,1.0525754087612835,0.6563495812836918,1.0607528593543307,0.6433328670345354,1.388800087440281,0.4129442990573365,1.4232342363741024,0.34526139969490083,-38.56810991013391,276.87618352112986,30.925886759864994,-35.81172046116387,34.17208578069828,-46.33238601870367
Babine Late Wild,1.1796011259981083,0.2483997765429691,0.7446113154895859,0.5610348762511697,0.7546332151201935,0.5575134154173862,0.747557078847777,0.5503444136100167,0.7977498951335954,0.5409061737664291,-36.87600841686717,125.85965416684657,-0.9376921305126358,-1.2858886636839646,5.713594253406204,-2.9788057456023616
Pinkut,1.2776884424395965,0.20455707961508526,0.8794210080034364,0.5960376507336996,0.866630157195559,0.6235292072479405,0.9157901177434686,0.5788507195513716,0.9918456310736162,0.5555413724996023,-31.17093504232652,191.37962462861844,5.67254210342653,-7.165420188376665,14.448547957672995,-10.903712922834009
Swan/Stephens,0.809067287829109,0.393870231134814,0.5726434092987925,0.7455608124027306,0.5679406284436068,0.7413261915859147,0.45370522451048345,0.9705908433921872,0.5268365379847512,0.8200122828266342,-29.221781931721587,89.29097795856013,-20.11396935031322,30.926285137155062,-7.2373921498622025,10.614233266517505
Skeena,1.2413192018150203,0.2577025325889708,0.9041301011119109,0.5137644959546197,0.9075318316884479,0.5020656990133247,0.9177306255100535,0.4778264402903102,0.962048752467811,0.4499901091292953,-27.16377062483859,99.36338645691986,1.123794611438688,-4.827905744337887,6.00716348185113,-10.372266017449492
Kwinageese,1.5563215516758793,0.20929972393093463,1.224161039922425,0.35508460538316855,1.224161039922425,0.3543752903885708,1.2239564507557756,0.35858780446651106,1.224161039922425,0.3515645864279522,-21.342666070246022,69.65364249612698,-0.016712602343749074,1.1887155205774265,0,-0.7931433248454448
Nass,1.605220692661048,0.22865636981818724,1.3308957920743856,0.4249645776231313,1.3466096918573913,0.4291758984132615,1.4292624569479997,0.2950776456312138,1.5166842389110362,0.3367479311596619,-17.0895442502614,85.85293642203611,6.137841246085541,-31.245522704754023,12.629832391823905,-21.5361504677504
