Scenario,MU,BaseYear,rate.type,min.er,spn.goal,min.rate,max.rate
ER0,Nass,all,er,0,0,0,0
ER0,SkeenaWild,all,er,0,0,0,0
ER10,Nass,all,er,0.1,0,0.1,0.1
ER10,SkeenaWild,all,er,0.1,0,0.1,0.1
ER20,Nass,all,er,0.2,0,0.2,0.2
ER20,SkeenaWild,all,er,0.2,0,0.2,0.2
ER30,Nass,all,er,0.3,0,0.3,0.3
ER30,SkeenaWild,all,er,0.3,0,0.3,0.3
ER40,Nass,all,er,0.4,0,0.4,0.4
ER40,SkeenaWild,all,er,0.4,0,0.4,0.4
ER50,Nass,all,er,0.5,0,0.5,0.5
ER50,SkeenaWild,all,er,0.5,0,0.5,0.5
ER60,Nass,all,er,0.6,0,0.6,0.6
ER60,SkeenaWild,all,er,0.6,0,0.6,0.6
ER70,Nass,all,er,0.7,0,0.7,0.7
ER70,SkeenaWild,all,er,0.7,0,0.7,0.7
ER80,Nass,all,er,0.8,0,0.8,0.8
ER80,SkeenaWild,all,er,0.8,0,0.8,0.8
ER90,Nass,all,er,0.9,0,0.9,0.9
ER90,SkeenaWild,all,er,0.9,0,0.9,0.9
