Stock,ModelForm,EstType,DataVersion,Smsy,Smax,Seq
Kwinag,Basic,Regular,Infill,"6,626","10,692","17,132"
Kwinag,Basic,Regular,NoInfill,"6,909","10,426","18,588"
Kwinag,Basic,StateSpace,Infill,"6,310","9,749","16,566"
Kwinag,Basic,StateSpace,NoInfill,"6,332","9,941","16,568"
Kwinag,AR1,Regular,Infill,"6,375","10,199","16,583"
Kwinag,AR1,StateSpace,Infill,"6,146","9,498","16,238"
Kwinag,AR1,StateSpace,NoInfill,"6,139","9,591","16,114"
Kwinag,TVP,Regular,Infill,"6,686","10,811","17,369"
Kwinag,TVP,StateSpace,Infill,"6,309","9,741","16,641"
Kwinag,TVP,StateSpace,NoInfill,"6,383","10,082","16,676"
Lakelse,Basic,Regular,Infill,"9,034","20,857","21,128"
Lakelse,Basic,Regular,NoInfill,"9,752","20,233","23,342"
Lakelse,Basic,StateSpace,Infill,"8,291","18,364","19,547"
Lakelse,Basic,StateSpace,NoInfill,"8,289","18,441","19,500"
Lakelse,AR1,Regular,Infill,"8,358","20,227","19,380"
Lakelse,AR1,StateSpace,Infill,"7,447","16,366","17,659"
Lakelse,AR1,StateSpace,NoInfill,"7,452","16,490","17,654"
Lakelse,TVP,Regular,Infill,"9,086","20,462","21,307"
Lakelse,TVP,StateSpace,Infill,"7,709","15,622","18,553"
Lakelse,TVP,StateSpace,NoInfill,"7,716","15,636","18,547"
