Aggregate,Scenario,BM,Label,Mean,Median,p10,p25,p75,p90,Stock
Nass,LTAvg,Smsy,Agg Fit,334705,274342,200742,229576,373467,591450,NA
Nass,LTAvg,Smsy,Sum,217507,211709,NA,NA,NA,NA,NA
Nass,LTAvg,Smsy,Sum-Agg,-117198,-62633,NA,NA,NA,NA,NA
Nass,LTAvg,Smsy,Meziadin,157702,155575,127897,139585,174644,192488,Meziadin
Nass,LTAvg,Smsy,LNassSRT,46430,44109,18188,26567,61899,80606,Lower Nass Sea & River Type
Nass,LTAvg,Smsy,Kwinag,8865,7583,5662,6440,9511,13347,Kwinageese
Nass,LTAvg,Smsy,Damdoch,4510,4442,3505,3881,5098,5634,Damdochax
Nass,LTAvg,Smsy,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Smsy,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Smsy,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Smsy,Agg Fit,192431,187039,109487,151938,225845,268363,NA
Nass,Now,Smsy,Sum,144988,138552,NA,NA,NA,NA,NA
Nass,Now,Smsy,Sum-Agg,-47443,-48487,NA,NA,NA,NA,NA
Nass,Now,Smsy,Meziadin,92381,94927,49814,65701,117347,132628,Meziadin
Nass,Now,Smsy,LNassSRT,38580,31642,12711,18919,53727,74715,Lower Nass Sea & River Type
Nass,Now,Smsy,Kwinag,10773,8789,5978,7014,13056,17719,Kwinageese
Nass,Now,Smsy,Damdoch,3254,3194,2549,2833,3603,4027,Damdochax
Nass,Now,Smsy,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Smsy,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Smsy,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,LTAvg,Smsy.c,Agg Fit,365896,296745,211440,245522,413608,664390,NA
Nass,LTAvg,Smsy.c,Sum,257416,251143,NA,NA,NA,NA,NA
Nass,LTAvg,Smsy.c,Sum-Agg,-108480,-45602,NA,NA,NA,NA,NA
Nass,LTAvg,Smsy.c,Meziadin,172647,169666,137442,150984,193804,212503,Meziadin
Nass,LTAvg,Smsy.c,LNassSRT,69149,67709,25567,39834,95664,117387,Lower Nass Sea & River Type
Nass,LTAvg,Smsy.c,Kwinag,10706,8957,6522,7409,11499,16721,Kwinageese
Nass,LTAvg,Smsy.c,Damdoch,4914,4811,3795,4199,5580,6212,Damdochax
Nass,LTAvg,Smsy.c,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Smsy.c,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Smsy.c,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Smsy.c,Agg Fit,195232,189696,112735,153833,228174,270369,NA
Nass,Now,Smsy.c,Sum,159034,150796,NA,NA,NA,NA,NA
Nass,Now,Smsy.c,Sum-Agg,-36198,-38900,NA,NA,NA,NA,NA
Nass,Now,Smsy.c,Meziadin,95217,98257,51880,68691,119689,134882,Meziadin
Nass,Now,Smsy.c,LNassSRT,46614,38245,16005,22872,64904,89296,Lower Nass Sea & River Type
Nass,Now,Smsy.c,Kwinag,13832,10990,6998,8336,17436,25123,Kwinageese
Nass,Now,Smsy.c,Damdoch,3371,3304,2631,2926,3729,4188,Damdochax
Nass,Now,Smsy.c,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Smsy.c,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Smsy.c,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,LTAvg,Smax,Agg Fit,581190,444139,287707,350828,657601,1137954,NA
Nass,LTAvg,Smax,Sum,369811,361787,NA,NA,NA,NA,NA
Nass,LTAvg,Smax,Sum-Agg,-211379,-82352,NA,NA,NA,NA,NA
Nass,LTAvg,Smax,Meziadin,245083,242244,182140,206486,284761,316937,Meziadin
Nass,LTAvg,Smax,LNassSRT,102626,100284,36516,58510,142793,177486,Lower Nass Sea & River Type
Nass,LTAvg,Smax,Kwinag,15300,12584,8639,10124,16913,24784,Kwinageese
Nass,LTAvg,Smax,Damdoch,6802,6675,5084,5716,7848,8820,Damdochax
Nass,LTAvg,Smax,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Smax,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Smax,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Smax,Agg Fit,384379,351185,261972,298885,421557,556157,NA
Nass,Now,Smax,Sum,339445,322093,NA,NA,NA,NA,NA
Nass,Now,Smax,Sum-Agg,-44934,-29092,NA,NA,NA,NA,NA
Nass,Now,Smax,Meziadin,219160,214335,170732,186540,245329,278604,Meziadin
Nass,Now,Smax,LNassSRT,93917,85581,27650,42555,138815,176103,Lower Nass Sea & River Type
Nass,Now,Smax,Kwinag,21095,17019,9459,11955,27381,39386,Kwinageese
Nass,Now,Smax,Damdoch,5273,5158,4302,4642,5732,6468,Damdochax
Nass,Now,Smax,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Smax,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Smax,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,LTAvg,Sgen,Agg Fit,NA,NA,NA,NA,NA,NA,NA
Nass,LTAvg,Sgen,Sum,55805,53753,NA,NA,NA,NA,NA
Nass,LTAvg,Sgen,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
Nass,LTAvg,Sgen,Meziadin,33695,32713,20216,25178,41393,49691,Meziadin
Nass,LTAvg,Sgen,LNassSRT,18809,18270,6368,10519,26637,32850,Lower Nass Sea & River Type
Nass,LTAvg,Sgen,Kwinag,2410,1899,1058,1371,2754,4242,Kwinageese
Nass,LTAvg,Sgen,Damdoch,891,871,563,683,1080,1250,Damdochax
Nass,LTAvg,Sgen,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Sgen,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Sgen,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Sgen,Agg Fit,NA,NA,NA,NA,NA,NA,NA
Nass,Now,Sgen,Sum,56618,52919,NA,NA,NA,NA,NA
Nass,Now,Sgen,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
Nass,Now,Sgen,Meziadin,37344,36698,26098,31202,43195,49491,Meziadin
Nass,Now,Sgen,LNassSRT,14804,12522,2867,6056,22645,30180,Lower Nass Sea & River Type
Nass,Now,Sgen,Kwinag,3702,2960,1246,1787,4996,7368,Kwinageese
Nass,Now,Sgen,Damdoch,768,739,534,627,885,1031,Damdochax
Nass,Now,Sgen,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Sgen,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Sgen,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,LTAvg,Sgen.c,Agg Fit,NA,NA,NA,NA,NA,NA,NA
Nass,LTAvg,Sgen.c,Sum,43666,41371,NA,NA,NA,NA,NA
Nass,LTAvg,Sgen.c,Sum-Agg,NA,NA,NA,NA,NA,NA,NA
Nass,LTAvg,Sgen.c,Meziadin,28220,27377,16498,20590,34912,41846,Meziadin
Nass,LTAvg,Sgen.c,LNassSRT,12922,11867,3853,6554,18064,23735,Lower Nass Sea & River Type
Nass,LTAvg,Sgen.c,Kwinag,1786,1407,741,997,2068,3110,Kwinageese
Nass,LTAvg,Sgen.c,Damdoch,738,720,449,558,894,1059,Damdochax
Nass,LTAvg,Sgen.c,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,LTAvg,Sgen.c,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,LTAvg,Sgen.c,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
Nass,Now,Sgen.c,Agg Fit,NA,NA,NA,NA,NA,NA,NA
