Year,n,Unk,pUnk,nStatus,Red,Amber,Green,pRed,pGreen,pNotGreen
1982,7,3,0.43,4,1,0,3,0.25,0.75,0.57
1983,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1984,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1985,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1986,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1987,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1988,7,3,0.43,4,1,0,3,0.25,0.75,0.57
1989,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1990,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1991,7,3,0.43,4,1,3,0,0.25,0,1
1992,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1993,7,3,0.43,4,1,0,3,0.25,0.75,0.57
1994,7,3,0.43,4,1,1,2,0.25,0.5,0.71
1995,7,3,0.43,4,1,2,1,0.25,0.25,0.86
1996,7,3,0.43,4,1,2,1,0.25,0.25,0.86
1997,7,3,0.43,4,1,2,1,0.25,0.25,0.86
1998,7,3,0.43,4,1,2,1,0.25,0.25,0.86
1999,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2000,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2001,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2002,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2003,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2004,7,3,0.43,4,2,1,1,0.5,0.25,0.86
2005,7,3,0.43,4,2,1,1,0.5,0.25,0.86
2006,7,3,0.43,4,2,1,1,0.5,0.25,0.86
2007,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2008,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2009,7,3,0.43,4,2,1,1,0.5,0.25,0.86
2010,7,3,0.43,4,2,1,1,0.5,0.25,0.86
2011,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2012,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2013,7,3,0.43,4,0,3,1,0,0.25,0.86
2014,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2015,7,3,0.43,4,1,2,1,0.25,0.25,0.86
2016,7,3,0.43,4,0,3,1,0,0.25,0.86
2017,7,3,0.43,4,0,2,2,0,0.5,0.71
2018,7,3,0.43,4,0,2,2,0,0.5,0.71
2019,7,3,0.43,4,0,4,0,0,0,1
