StkSeq,Stock,RecoveryProfile1,YieldProfile1,YieldProfile2,YieldProfile3
1,Lower Nass Sea & River Type,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
NA,Skeena,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1M
NA,Nass,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq300k
NA,SkeenaWild,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq100k
21,Pinkut,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq100k
17,Swan/Stephens,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
18,Babine Early Wild,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
20,Babine Mid Wild,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
3,Bowser,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
4,Oweegee,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
5,Kwinageese,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
6,Damdochax,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
7,Upper Nass River Type,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
8,Johnston,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
9,Ecstall,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
10,Alastair,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
11,Lakelse,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
12,Kitsumkalum,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
13,Mcdonell,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
14,Kitwanga,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
15,Upper Bulkley Lakes,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
16,Morice,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
23,Sicintine,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
24,Slamgeesh,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
25,Motase ,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
26,Bear,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq10k
27,Asitka,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
28,Sustut,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
29,Kluantantan,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
30,Kluayaz,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
31,Skeena River Type,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq1k
2,Meziadin,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq100k
19,Babine Late Wild,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq100k
22,Fulton,ProbRecLeqSgen,ProbYieldLeqMsy80,ProbYieldLeqMsy60,ProbYieldLeq300k
